winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
The Crane Assembly,Red wine,Napa Valley,United States,El Coco,2018,4.6,84,71.35,80,51.2999,13.6504,60.5451
Hourglass,Red wine,Calistoga,United States,Blueline Estate Merlot,2018,4.6,55,75,65.7942,18.1393,14.7229,9.16193
Pride Mountain Vineyards,Red wine,Sonoma County,United States,Cabernet Franc,2018,4.6,54,78.95,55.1107,50.5279,1.63651,42.1526
La Giaretta,Red wine,Amarone della Valpolicella Classico,Italy,I Quadretti Amarone della Valpolicella Classico,2016,4.6,48,74.99,80,17.725,46.8937,22.4857
Law Estate Wines,Red wine,Paso Robles,United States,Audacious,2017,4.6,44,76.99,80,58.6054,4.14504,60.3866
Kamen,Red wine,Sonoma Valley,United States,Writer's Block Blend,2017,4.6,41,72.99,80,59.5813,3.41782,62.8728
Peju,Red wine,Napa Valley,United States,Cabernet Franc,2017,4.6,38,77.99,54.9403,48.2627,3.32577,40.4648
Donum,Red wine,Anderson Valley,United States,Anderson Valley Estate Pinot Noir,2017,4.6,36,71.99,49.7998,22.1007,5.13371,54.6093
Silverado Vineyards,Red wine,Napa Valley,United States,Oakville Station Cabernet Sauvignon,2014,4.6,32,74.99,-1,-1,-1,-1
Scribe,Red wine,Atlas Peak,United States,Atlas Peak West Cabernet Sauvignon,2017,4.6,28,69.99,-1,-1,-1,-1
Law Estate Wines,Red wine,Paso Robles,United States,Beyond Category,2017,4.6,26,78.95,80,51.8023,6.38954,61.6799
Orin Swift,Red wine,Napa Valley,United States,Papillon,2017,4.5,2792,79.99,80,51.3046,7.33362,62.2901
Silver Oak,Red wine,Alexander Valley,United States,Alexander Valley Cabernet Sauvignon,2016,4.5,1893,73.33,80,47.803,1.31668,39.9506
Domaine Serene,Red wine,Willamette Valley,United States,Evenstad Reserve Pinot Noir,2017,4.5,260,74.99,22.4727,18.3336,2.29021,61.6379
Pride Mountain Vineyards,Red wine,Napa Valley,United States,Cabernet Sauvignon,2017,4.5,196,76,80,48.9745,4.97294,47.1622
Hall,Red wine,Napa Valley,United States,Ellie's Cabernet Sauvignon,2016,4.5,181,74.99,80,48.684,5.45088,48.0035
